Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Token
"0x011116f68b5fc3756327c79c85d67f7f102b44328a233445004c86b520e2164d","Success","Handle Ops","22239383","2025-04-10 15:19:59","0xb56b900459cCb169A128DEa7f5946DD3d303461C","","0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789","Entry Point 0.6.0","79.10532681","$9.99","MAGA Trump (MAGATRUMP)"
"0x80adfc18636114a007e78d4116841f512fe7e71cdf92e4b300c1a615caaec1a1","Success","Handle Ops","22239379","2025-04-10 15:19:11","0xb56b900459cCb169A128DEa7f5946DD3d303461C","","0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789","Entry Point 0.6.0","26,373.80636217","$3,329.34","MAGA Trump (MAGATRUMP)"
"0xcc3c154ac91d76d3d4f32319d4de0f693f0979aba42ced1e2376530546e6e9f7","Success","Handle Ops","22239371","2025-04-10 15:17:35","0xb56b900459cCb169A128DEa7f5946DD3d303461C","","0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789","Entry Point 0.6.0","5,266.6200249","$664.84","MAGA Trump (MAGATRUMP)"
"0xca27927a0d977fc27b93278af61f55c0b5ea07893e9ecdfe0710c0c77dc36b6e","Success","Safe Execute Signatures With Auto Gas Limit","22190643","2025-04-03 20:02:59","0x0000000000000000000000000000000000000000","Null: 0x000...000","0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789","Entry Point 0.6.0","10","$0.00","<img src='/images/main/empty-token.png' width='18' height='18' class='rounded-circle'>ERC20 ***"
"0xd1da743c9bf375e6eb63869248bbc4f8720180478c7a5b9b8a38ea7a0686a171","Success","Handle Ops","22021130","2025-03-11 04:05:11","0xb8aa71234145404C8834567A0dfBEbF109Ff50D5","","0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789","Entry Point 0.6.0","10,785.99967654","$0.00","<img src='/images/main/empty-token.png' width='18' height='18' class='rounded-circle'>ERC-20: Flo...erz"
"0x6eed6665a6a62cd9f6209b71f530a36218b3cff5f8fd4e13380640206fc1cb22","Success","Handle Ops","21818066","2025-02-10 18:59:47","0x8D5F6afCdb83C31b467eDCc255973F0946f43Be3","","0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789","Entry Point 0.6.0","638.71640404","$270.89","GoMining Token (GMT)"
"0xb6153a45a7a9db6e83c62f458db451a0293a18b44a964e2ffe5f1658c4aeb792","Success","Handle Ops","21729536","2025-01-29 10:17:47","0x450BBE556293708a9DC8d655F66E4246399d70ad","","0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789","Entry Point 0.6.0","194.5","$194.48","USDC (USDC)"
"0x5657cb7520e0b1b41498fcffe22479cf2bb2b0669f95adb0c6c03d598e5f2261","Success","Handle Ops","21702273","2025-01-25 14:59:59","0x8D5F6afCdb83C31b467eDCc255973F0946f43Be3","","0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789","Entry Point 0.6.0","107.67036444","$45.66","GoMining Token (GMT)"
"0x7257dd7ded7302b1eca7bcfec23cf6c9db39e68fd1fb1d7a8c921ba5f272af4f","Success","Transfer","21685512","2025-01-23 06:50:59","0xbAB50ec61DcaFdafC378c240e54391fd61EBA60E","","0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789","Entry Point 0.6.0","1.219812","$1.22","USDC (USDC)"
"0x31f215b09104f432774f34e20cca3593f476a8c054f629199b5bc5258422ee59","Success","Handle Ops","21509210","2024-12-29 16:05:47","0x56Ee8d79783db60E6975e10178601d2e7D08635c","","0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789","Entry Point 0.6.0","89.13","$89.12","USDC (USDC)"
"0x31353dee54e2378f6ef49c72a395293b0e7ed259d87befceee2ab2536c5147b9","Success","Transfer","20616560","2024-08-27 01:12:11","0xEB79561A4Ccd197941B40FC6625Ffe3b47920f08","cool2030.eth","0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789","Entry Point 0.6.0","240","$0.00","<img src='/images/main/empty-token.png' width='18' height='18' class='rounded-circle'>ERC-20: $FWOG"
"0x83694e2e680ebadb5348decf485743060c1eb1cdcfff60cc5ae18fcd287da161","Success","Handle Ops","20523115","2024-08-13 23:53:35","0x0bC8f778F0196bACC1af7f327A19B52525C5799A","","0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789","Entry Point 0.6.0","0.0003968","$0.98","Wrapped Ether (WETH)"
"0x4a7d48d7544fe710d05e0993a21cc9daf729c3ebea52bfc088743d6aa47914f4","Success","Handle Ops","20522517","2024-08-13 21:53:47","0x0bC8f778F0196bACC1af7f327A19B52525C5799A","","0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789","Entry Point 0.6.0","0.0004","$0.98","Wrapped Ether (WETH)"
